Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Edu,Faaliat,T.shaghel,T.M.S,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
11301159014,13,1,2,70,2,NA,NA,3,NA,1,2,24,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,2736200,NA,2.00E+06,1.00E+06,160000,1.00E+06,NA,50000,NA,NA,80000,NA,NA,66550000,5460000
11301159016,13,2,1,57,2,NA,NA,1,1,1,4,120,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,5457600,9.00E+05,NA,4700000,NA,30000,1700000,240000,NA,NA,35000,NA,128650000,1030000,10920000
11301159020,13,4,1,48,1,2,2,3,NA,1,3,60,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,18480396,1500000,2600000,7400000,1860000,13220000,4050000,861000,245000,1.00E+06,1295000,NA,NA,371320000,21840000
11301159023,13,4,1,67,1,2,1,1,2,1,4,120,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,8374462,4.00E+05,NA,9209045,855000,3770000,1550000,550000,4.00E+05,450000,450000,NA,387400000,NA,21840000
11301159108,13,5,1,63,1,2,2,3,3,1,3,120,3,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,38805790,NA,3700000,1.50E+07,2050000,1.00E+05,6500000,1.00E+06,NA,NA,230000,420400000,3.00E+08,3.22E+08,27300000
11301159111,13,3,1,55,1,2,1,1,1,1,3,110,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,4624000,NA,NA,1.50E+07,980000,80000,950000,320000,NA,NA,520000,NA,3.60E+08,NA,16380000
11301159117,13,3,1,35,1,2,2,1,1,3,4,90,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,4,14,24,4920600,1160000,NA,7360000,4.00E+05,420000,1.00E+06,4.00E+05,NA,NA,410000,1.44E+08,NA,5520000,16380000
11301159118,13,2,1,24,1,2,7,1,2,3,4,70,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,4,14,24,5683260,NA,380000,7700000,5.00E+05,2.00E+05,1200000,5.00E+05,NA,NA,380000,6.24E+08,NA,60900000,NA
11301159120,13,5,1,40,1,2,2,1,1,3,3,40,3,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,4,14,24,6898215,NA,1300000,9940000,470000,1.00E+05,2080000,7.00E+05,NA,NA,450000,1.52E+08,NA,12440000,27300000
11301159123,13,3,1,47,1,2,1,1,1,3,4,120,3,1,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,5315356,NA,1750000,12799000,430000,NA,5.00E+05,3.00E+05,NA,NA,220000,134400000,NA,8700000,16380000
